task_id,domain,task_description,attachment_count,attachment_total_bytes,attachment_total_mb,largest_attachment_bytes,criterion_count,primary_criteria_count,secondary_criteria_count,hours_estimate,value_low_usd,value_base_usd,value_high_usd,notes
1155,Medicine,"Note: For the following clinical scenario, please refer to the most up to date American Academy of Pediatrics Immunizations schedule as of September 17, 2025. A 13-month-old male presents to the clinic with his new foster mom. He was seen in the clinic last week for a well-child-check, but was unable to get vaccines because his foster mom had not received his shot records from the case worker prior to that appointment. She has his records now, but he is behind on immunizations. Child’s date of birth - September 1, 2024 Today’s date - October 2, 2025 Immunization record Hep B #1 - 9/1/24 Hep B #2 - 3/20/25 DTaP #1 - 3/20/25 PEDVAXHIB #1 - 3/20/25 Prevnar #1 - 3/20/25 IPV #1 - 3/20/25 Influenza #1 - 3/20/25 Hep B #3 - 4/24/25 DTaP #2 - 4/24/25 PEDVAXHIB #2 - 4/24/25 Prevnar #2 - 4/24/25 IPV #2 - 4/24/25 Influenza #2 - 4/24/25 DTaP #3 - 9/1/25 PEDVAXHIB #3 - 9/1/25 Prevnar #3 - 9/1/25 IPV #3 - 9/1/25 MMR #1 - 9/1/25 Varicella #1 - 9/1/25 HepA #1 - 9/1/25 Using the attachment ""AAP-Immunization-Schedule.pdf"", and assuming this child is healthy and has no contraindications to vaccines, what vaccinations should he receive today? What other vaccines should he receive by the end of this year? Briefly explain your clinical reasoning.",1,927687,0.884711,927687,9,8,1,3.50,350.00,525.00,875.00,
1340,Medicine,"A middle-aged man presents to the ER with abdominal pain and fever. He is admitted under the internist team for sepsis. 36 hours after admission, he is recovering well but reports redness and discomfort in his right eye, for which he has been prescribed antibiotic eye drops. His clinical presentation and initial hospital course are outlined in the attached document. What two additional specialties should be consulted in this patient’s care as soon as possible, and why?",1,26103,0.024894,26103,12,6,6,3.50,350.00,525.00,875.00,
1344,Medicine,"During an esophagogastroduodenoscopy (EGD), the endoscopist—accompanied by a medical student—describes two gastric ulcers (see attached document) while testing the student’s knowledge of the Forrest classification. As the scribing doctor, using the Forrest classification, state: 1. The Forrest grade of each ulcer at this point. 2. The individual rebleeding risk and mortality risk associated with each grade.",1,20868,0.019901,20868,12,6,6,3.50,350.00,525.00,875.00,
1345,Medicine,A patient presents with right lower extremity pain as described in the attached history and physical (1345_historyAndPhysical.pdf). What is the most specific screening study that may have prevented this patient's current situation? Justify the response.,1,54638,0.052107,54638,22,16,6,3.50,350.00,525.00,875.00,
1352,Medicine,A patient recently underwent a prostate MRI that is still pending formal reporting. He presents today feeling anxious and wishes to understand his likelihood of prostate cancer based on the preliminary imaging description. See attached document for the MRI findings. What is the score under the Prostate Imaging Reporting and Data System version 2.1 (PI-RADS v2.1) for this lesion? Explain your reasoning.,1,20848,0.019882,20848,14,9,5,3.50,350.00,525.00,875.00,
1354,Medicine,"An 18-year-old male presents with chronic fatigue, muscle cramps, and intermittent perioral tingling one year after undergoing total thyroidectomy for papillary thyroid carcinoma. Please refer to the attached document for information on the patient's physical exam. Despite taking high-dose oral calcium (4,000 mg/day) and calcitriol (0.75 mcg/day), his serum calcium levels continue to fluctuate between 7.1 and 8.0 mg/dL (normal is between 8.5 and 10.2 mg/dL). A 24-hour urine collection shows hypercalciuria (320 mg/day). He previously trialed recombinant human parathyroid hormone (rhPTH) but discontinued it due to marked swings in his calcium levels. He now expresses frustration with the pill burden and its impact on his quality of life, along with the devastating symptoms. Question: What is the next best step in managing this patient’s chronic hypoparathyroidism? Explain your reasoning.",1,39105,0.037293,39105,18,9,9,3.50,350.00,525.00,875.00,
1359,Medicine,"For the following clinical scenario, please refer to the attached documents: American Academy of Pediatrics (AAP) immunization schedule and the patient's immunization record. A 3-year-old male presents in October 2025 for his well-child visit, which is slightly delayed. He received his hepatitis B vaccine at birth and has remained up to date on all immunizations since then. He has no other medical problems. Assuming the remainder of his well-child examination is unremarkable, should he receive any immunizations today? Explain your reasoning.",2,960981,0.916463,927687,22,19,3,3.50,350.00,525.00,875.00,
1368,Medicine,A 75-year-old male patient presents to the primary care clinic for new onset skin dryness and pruritus. Please refer to the attached patient case to answer the following questions: - What is the most likely treatment the patient is referring to? Explain your reasoning. - List 2 treatments that can be offered in this case to manage his symptoms following this treatment.,1,29239,0.027884,29239,15,15,0,3.50,350.00,525.00,875.00,
1389,Medicine,"A 66-year-old man with history of hypertension presents to clinic for follow up after a witnessed syncopal episode while gardening 1 week ago. He describes feeling lightheaded before losing consciousness for approximately 15 seconds, according to his son. He recovered quickly without confusion, urinary or bowel incontinence afterwards. His son did not witness any abnormal movements or jerking motion. There was no head trauma. He recently recovered from an episode of gastroenteritis but is now tolerating normal oral intake. The patient denies any additional preceding symptoms and denies history of chest pain, palpitations, or dyspnea. Please further refer to the attached document (Patient Infor.pdf) to answer the following questions: What is the most appropriate immediate next step(s) in the management of this patient and why?",1,84361,0.080453,84361,17,17,0,3.50,350.00,525.00,875.00,
1407,Medicine,"A patient whose medical information is in the attached document comes to your clinic. Her most recent liver tests are stable. What changes, if any, should be made to the patient’s resmetirom dose? Explain your reasoning.",1,289762,0.276339,289762,14,12,2,3.50,350.00,525.00,875.00,
