task_id,domain,attachment_count,prompt_preview,hours_estimate,value_low_usd,value_base_usd,value_high_usd,notes
1588,Finance,1,"TPG is currently in conversations to acquire a wholesale distributor of HVAC supplies in Europe. Management has shared company projections, which the investment…",3.50,350.00,525.00,875.00,
2107,Finance,1,Mariner Cloud plc (acquirer) plans to acquire Orion Metrics AG (Target). All figures and inputs are in the CSV “Orion_Target.csv”. Requirements: Purchase price …,3.50,350.00,525.00,875.00,
2108,Finance,1,"Using Nike Inc’s 2025 Form 10-K and the assumptions below, conduct a 3 year DCF analysis, and calculate: Nike’s Enterprise Value based on the 3-year DCF, Enterp…",3.50,350.00,525.00,875.00,
2120,Finance,2,"To allocate funds to relatively low-risk investments while still achieving a decent return, refer to the ‘S&P500’ and ‘Nikkei225’ excel source files that contai…",3.50,350.00,525.00,875.00,
2121,Finance,1,"Investment Banking firm BLT is advising fund ART with a whole loan bid for a pool of reperforming (""RPL"") and nonperforming (""NPL"") non-agency mortgage loans. T…",3.50,350.00,525.00,875.00,
2145,Finance,2,"We are doing Discounted Cash Flow Analysis (“DCF”) on Coupang (NYSE: CPNG) as they are a competitor to one of our clients. To complete the analysis, please firs…",3.50,350.00,525.00,875.00,
2157,Finance,1,"A well-known U.S. PE firm is evaluating a leveraged buyout (LBO) of Summit Outdoor Gear, Inc. Build a 5-year LBO model and answer six questions. Assumptions are…",3.50,350.00,525.00,875.00,
2186,Finance,1,"Produce an EV to Equity Bridge that would be used in a Locked Box Paper for a regulated, asset and wealth management company based in the UK with £1bn of assets…",3.50,350.00,525.00,875.00,
2192,Finance,1,Italian bank UniCredit S.p.A. (Ticker: UCGIM) is evaluating a cash tender offer for one of its outstanding EUR senior unsecured notes due 2029. The objective is…,3.50,350.00,525.00,875.00,
2205,Finance,1,"On 08 October 2025, rating agency upgraded its rating on Dutch beer maker Heineken (Ticker: HEIANA) from BBB+ to A- by S&P. Heineken has one EUR 1.5bn 3.250% 17…",3.50,350.00,525.00,875.00,
2217,Finance,3,"Build a fully diluted market capitalization and an enterprise value valuation analysis for Coinbase. Use only the attached Form 10-Q, attached Form 10-K, attach…",3.50,350.00,525.00,875.00,
2228,Finance,1,A Real Estate Private Equity company (LP) is teaming up with a real estate developer to acquire a property for $25 million with a mix of debt and equity at the …,3.50,350.00,525.00,875.00,
2230,Finance,1,"Albion Technologies plc (a UK company, GBP as the functional currency) will acquire Horizone Sistemas S.A. (a Brazilian company, with BRL as the functional curr…",3.50,350.00,525.00,875.00,
2232,Finance,1,"A developer (Operating Partner), along with a Private Equity firm (LP), wants to acquire a property for $25 million with a mix of debt and equity at the end of …",3.50,350.00,525.00,875.00,
2261,Finance,2,"As part of Lloyd's liquidity review in relation to a potential M&A transaction, you have been tasked with assessing the bank's balance sheet to evaluate post-tr…",3.50,350.00,525.00,875.00,
2266,Finance,1,"A company is considered ""efficient"" if it has a waste recycled percentage greater than 45%. “Country_data.csv”, attached, contains data on publicly traded compa…",3.50,350.00,525.00,875.00,
2269,Finance,1,Hermion plc. Loan request A new loan request from a IT infrastructure company Hermion plc. just arrived via email to your boss. They are looking to obtain a new…,3.50,350.00,525.00,875.00,
2287,Finance,1,"KatNip Co. (""KatNip"" or the ""Company"") was granted a patent to generate a unique animal feeding device (the ""Product""). Use the information in the attachment to…",3.50,350.00,525.00,875.00,
2288,Finance,3,"Build a fully diluted market capitalization and an enterprise value valuation analysis for Ford Motor Company, excluding the Ford Credit segment. Use only the a…",3.50,350.00,525.00,875.00,
2294,Finance,1,"Borealis Components, Inc. is undergoing a court-supervised balance-sheet restructuring with emergence this quarter. Information about the restructuring is provi…",3.50,350.00,525.00,875.00,
2302,Finance,2,Prepare a five-year forecast of the company's balance sheet that will be used to perform a Free Cash Flow to Firm (FCFF) valuation. The forecast should be based…,3.50,350.00,525.00,875.00,
2308,Finance,1,An Equity Capital Markets (ECM) syndicate desk of a major investment bank is exploring a pro rata allocation or an allocation aimed at reducing flips on an upco…,3.50,350.00,525.00,875.00,
2315,Finance,1,The securitization capital markets team at SPO Capital has been actively working with rating agencies on an upcoming securitization issuance of a pool of perfor…,3.50,350.00,525.00,875.00,
2317,Finance,5,"In June 2020, Telefonica Deutschland sold its portfolio of communication sites to Telxius. Assume Telefonica Deutschland, as a core tenant, is on average respon…",3.50,350.00,525.00,875.00,
2333,Finance,3,Objective: Assess whether a sponsor should pursue a Nasdaq Global Market IPO or a same-day underwritten Term Loan B (TLB). Sources: Nasdaq Initial Listing Guide…,3.50,350.00,525.00,875.00,
